entidad,segmento,codigo_adjudicacion,tramo_gestion,casos_activos,tipo_accion,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,dia10,dia11,dia12,dia13,dia14,dia15,dia16,dia17,dia18,dia19,dia20,dia21,dia22,dia23,dia24,dia25,dia26,dia27,dia28,dia29,dia30,dia31,total_mes
AYSE,NULL,260520,"1) 0 a 30",2626,call_pred,1440,572,1010,417,495,0,0,1215,100,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6263
AYSE,NULL,260520,"1) 0 a 30",2626,mail,23,1311,11,1319,2,0,0,240,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4094
AYSE,NULL,260527,"1) 0 a 30",2181,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260527,"1) 0 a 30",2181,ivr,2956,3033,3110,3107,2678,57,0,500,2210,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18302
AYSE,NULL,260527,"1) 0 a 30",2181,sms_corto,2,2,725,5,34,0,0,792,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606
AYSE,NULL,260527,"1) 0 a 30",2181,sms_largo,0,0,150,234,11,3,0,129,76,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661
AYSE,NULL,260527,"1) 0 a 30",2181,whatsapp,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
AYSE,NULL,260527,"1) 0 a 30",2181,call_ope,0,10,266,140,145,0,0,217,15,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921
AYSE,NULL,260527,"1) 0 a 30",2181,call_pred,0,0,788,359,451,0,0,975,49,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3418
AYSE,NULL,260527,"1) 0 a 30",2181,mail,1,1407,15,1299,4,0,0,160,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001
AYSE,NULL,260603,"1) 0 a 30",2646,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260603,"1) 0 a 30",2646,ivr,0,0,0,0,3510,0,0,838,3859,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12017
AYSE,NULL,260603,"1) 0 a 30",2646,sms_corto,0,0,0,88,0,0,0,0,47,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788
AYSE,NULL,260603,"1) 0 a 30",2646,sms_largo,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
AYSE,NULL,260603,"1) 0 a 30",2646,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260603,"1) 0 a 30",2646,call_ope,0,0,0,0,0,0,0,0,2,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309
AYSE,NULL,260603,"1) 0 a 30",2646,call_pred,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906
AYSE,NULL,260603,"1) 0 a 30",2646,mail,0,0,0,112,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818
AYSE,NULL,260610,"1) 0 a 30",2032,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,ivr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,sms_corto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,sms_largo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,call_ope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,call_pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSE,NULL,260610,"1) 0 a 30",2032,mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSJ,NULL,230901,"7) >360",1979,voicebot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSJ,NULL,230901,"7) >360",1979,ivr,1948,1941,0,0,1948,0,0,1948,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9733
AYSJ,NULL,230901,"7) >360",1979,sms_corto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSJ,NULL,230901,"7) >360",1979,sms_largo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSJ,NULL,230901,"7) >360",1979,whatsapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYSJ,NULL,230901,"7) >360",1979,call_ope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
